PokerRoom,TableName,TableId,TableNo,SeatId,SeatNo,PlayerId,PlayerName,Nationality,ChipCount
Main,Black,43161,12,429517,2,104249,Marat Tsytsykov,RU,40000
Main,Black,43161,12,429518,3,104117,Alireza Akbarzadehbeshroyeh,IR,40000
Main,Black,43161,12,429519,4,101446,Andrei Daniliuk,RU,40000
Main,Black,43161,12,429520,5,104102,Malka Oren Meir,IL,40000
Main,Black,43161,12,429521,6,103919,Vadzim Godzdanker,BY,40000
Main,Black,43161,12,429522,7,53236,Ben Fan,CN,40000
Main,Black,43162,13,429526,1,104112,Elio Farah,LB,40000
Main,Black,43162,13,429527,2,104111,Suat Uyanik,FR,40000
Main,Black,43162,13,429528,3,104115,Antoine Hasbani,LB,40000
Main,Black,43162,13,429529,4,104558,Pascal Vos,NL,40000
Main,Black,43162,13,429530,5,104118,Nikita Polianskii,RU,40000
Main,Black,43162,13,429531,6,104518,Sodbayar Munkhbat,MN,40000
Main,Black,43162,13,429532,7,105112,Semen Kravets,RU,40000
Main,Black,43163,14,429536,1,104071,Anton Danilov,RU,27600
Main,Black,43163,14,429537,2,104131,Tahsin alper Cankurtaranli,TR,20100
Main,Black,43163,14,429538,3,104138,Aleksandr Tabolin,RU,40900
Main,Black,43163,14,429539,4,104123,Ian Bogomolov,RU,77500
Main,Black,43163,14,429540,5,14750,Ilia Arkhipov,RU,34500
Main,Black,43163,14,429541,6,104814,Dmitrii Gromov,RU,27500
Main,Black,43163,14,429542,7,22855,Yiannis Liperis,GB,84700
Main,Black,43164,15,429546,1,57530,Roman Korenev,RU,9200
Main,Black,43164,15,429547,2,75580,Pedro Garcia,ES,54700
Main,Black,43164,15,429548,3,930,Garik Tamasian,RU,53300
Main,Black,43164,15,429549,4,104970,SERKAN SOLAK,TR,46600
Main,Black,43164,15,429550,5,1667,Aleksandr Faterin,RU,19300
Main,Black,43164,15,429551,6,36855,Ivan Uzunov,BG,51500
Main,Black,43164,15,429552,7,104128,Murat Uysal,TR,41700
Main,Black,43165,16,429556,1,105000,Grigory Zima,RU,55000
Main,Black,43165,16,429557,2,104328,Aleksandr Razinkov,RU,35000
Main,Black,43165,16,429558,3,33411,Halil Tasyurek,TR,43000
Main,Black,43165,16,429559,4,104166,Alfredo Versace,IT,30000
Main,Black,43165,16,429560,5,104132,Michel Georges Habib,LB,41000
Main,Black,43165,16,429561,6,104817,Fady Kamar,LB,55000
Main,Black,43165,16,429562,7,104076,Meisam Emami,IR,7000
Main,Black,43166,17,429566,1,101056,Mihai Trofim,MD,112000
Main,Black,43166,17,429567,2,70266,Ruslan Esov,RU,14500
Main,Black,43166,17,429569,4,104232,Maksim Boguslavskii,RU,50000
Main,Black,43166,17,429570,5,104528,Elena Litviniuk,RU,22000
Main,Black,43166,17,429571,6,103710,Xiaosheng Zheng,CN,22000
Main,Black,43166,17,429572,7,104950,Ahmad Rami Naall,SY,47000
Main,Black,43167,18,429576,1,18173,Andrei Kaigorodtcev,RU,30800
Main,Black,43167,18,429577,2,104934,Mariia Asmolova,RU,24800
Main,Black,43167,18,429578,3,104519,Ivan Zabiiakin,RU,61000
Main,Black,43167,18,429579,4,103881,Andrey Litvinov,RU,30500
Main,Black,43167,18,429580,5,104243,Shakhabiddin Muradov,UZ,54500
Main,Black,43167,18,429581,6,103759,Peng Huang,CN,39000
Main,Black,43167,18,429582,7,11820,Oleg Ustinovich,RU,40500
Main,Black,43168,19,429586,1,103752,Sergei Borstov,RU,40000
Main,Black,43168,19,429587,2,103781,Stanislan Sokruta,RU,40000
Main,Black,43168,19,429588,3,103962,Nemanja Lukovic,RS,83000
Main,Black,43168,19,429589,4,104988,Anna Shershneva,RU,35000
Main,Black,43168,19,429590,5,103773,Bekir Tolga Sivritepe,TR,36000
Main,Black,43168,19,429591,6,104110,Israel Amoyal,FR,42000
Main,Black,43168,19,429592,7,85163,Temur Abbosov,UZ,50000
Main,Black,43169,20,429596,1,14749,Roman GADZHIEV,AE,44000
Main,Black,43169,20,429597,2,103604,Mazalahedwa Bako,GB,49000
Main,Black,43169,20,429598,3,104301,SIMONE PASCUCCI,IT,40000
Main,Black,43169,20,429599,4,104815,Bakhos Alalam,LB,22000
Main,Black,43169,20,429600,5,104127,Aleksei Petrov,RU,55000
Main,Black,43169,20,429601,6,104113,Lucien Cohen,FR,40000
Main,Black,43169,20,429602,7,103593,Ivan Pavlov,BY,58000
Main,Black,43176,21,429666,1,103963,Artsiom Panasiuk,BY,45000
Main,Black,43176,21,429667,2,102822,Ahmad Abdelhadi,CA,35000
Main,Black,43176,21,429668,3,101310,Ghassan John Bitar,GH,70000
Main,Black,43176,21,429669,4,104313,Ramez Haddad,LB,15000
Main,Black,43176,21,429670,5,20224,Udo Erlei,DE,45000
Main,Black,43176,21,429671,6,101355,Joseph Mouawad,LB,15000
Main,Black,43176,21,429672,7,104500,Yigit Tolga Veyseloglu,TR,50000
Main,Black,43177,22,429676,1,14962,Alajmi Abdullah,KW,40000
Main,Black,43177,22,429677,2,57368,Elena Yasyuchenya,RU,53000
Main,Black,43177,22,429678,3,101443,Dmitry Vitkind,RU,18800
Main,Black,43177,22,429679,4,16356,Alisa Sibgatova,RU,69700
Main,Black,43177,22,429680,5,105132,KEMAL ASLAN,TR,40000
Main,Black,43177,22,429681,6,101374,Emad Ghadamian,IR,40500
Main,Black,43177,22,429682,7,104644,Kayhan Sardan,TR,98000
Main,Black,43178,23,429686,1,104106,Yuejun Zhao,CN,80700
Main,Black,43178,23,429687,2,104145,Giia Iakobishvili,RU,78500
Main,Black,43178,23,429688,3,89670,Evgenii Gorokhovskii,RU,28000
Main,Black,43178,23,429689,4,21162,Francisco Sanchez,ES,50800
Main,Black,43178,23,429690,5,104326,Ran Azor,IL,38100
Main,Black,43178,23,429691,6,104823,Aliaksandr Khromau,BY,12200
Main,Black,43178,23,429692,7,104662,Kassem Hammoud,LB,36600
Main,Black,43179,24,429696,1,104539,Ciprian Paunescu,RO,45500
Main,Black,43179,24,429698,3,104507,Vadim Volkhonskii,RU,32700
Main,Black,43179,24,429699,4,104776,Nikola Radevic,RS,50600
Main,Black,43179,24,429700,5,93496,Michal Wojtkowiak,PL,34900
Main,Black,43179,24,429701,6,49320,Adel Kabbani,FR,90400
Main,Black,43179,24,429702,7,103675,Petr Rudnev,RU,65900
Main,Black,43180,25,429706,1,103695,Razvan-Nicolae Sabau,RO,73000
Main,Black,43180,25,429707,2,101838,Luca Stevanato,IT,14000
Main,Black,43180,25,429708,3,73586,Raoul Kanme,NL,53000
Main,Black,43180,25,429709,4,104101,Aleksandras Rusinovas,LT,66000
Main,Black,43180,25,429710,5,2012,Quan Zhou,CN,32500
Main,Black,43180,25,429711,6,104813,Alesia Sinevich,RU,26000
Main,Black,43180,25,429712,7,101603,Steven Rainer Rohr,DE,13000
Main,Black,43181,26,429716,1,104093,Boris Tabijev,KZ,59000
Main,Black,43181,26,429717,2,104624,MARIUS IULIAN MUNTEANU,RO,27100
Main,Black,43181,26,429718,3,15041,Roman Lesko,RU,38000
Main,Black,43181,26,429719,4,103671,Anastasiia Kariaeva,RU,26400
Main,Black,43181,26,429720,5,14801,Andrey Kotelnikov,RU,32500
Main,Black,43181,26,429721,6,104872,Vitalii Gloshkin,RU,64000
Main,Black,43181,26,429722,7,104376,Nugzar Glonti,GE,70000
Main,Black,43182,27,429726,1,101648,Tymofii Savkin,UA,25000
Main,Black,43182,27,429727,2,103587,Cristian-Mihaita Ivanus,RO,15200
Main,Black,43182,27,429728,3,104868,Issam Tannouri,LB,58000
Main,Black,43182,27,429729,4,104161,El Wely Mohamed Envaa,MR,43600
Main,Black,43182,27,429730,5,104808,Alexander Lakhov,RU,42300
Main,Black,43182,27,429731,6,99520,Evgenii Ushakov,RU,41400
Main,Black,43182,27,429732,7,104807,Vladimir Kovalevskiy,RU,57000
Main,Black,43183,28,429736,1,16672,Dmitrii Astratov,RU,31000
Main,Black,43183,28,429737,2,104606,IVAN VASILEV,RU,80000
Main,Black,43183,28,429738,3,103979,Aren Bezhanyan,RU,17000
Main,Black,43183,28,429739,4,104545,Nasser Al-Mujaibel,GB,40000
Main,Black,43183,28,429740,5,104056,Baizhan Baimukhametov,KZ,43000
Main,Black,43183,28,429741,6,103927,Arif Rasulov,TM,69000
Main,Black,43183,28,429742,7,104233,Nurmuhammedov Parahat,TM,28000
Main,Black,43184,29,429746,1,626,Lachezar Petkov,BG,32300
Main,Black,43184,29,429747,2,103935,Ihor Kaliahin,UA,32500
Main,Black,43184,29,429748,3,104137,Maksim Rogov,RU,55000
Main,Black,43184,29,429749,4,103772,Vedat Roso,US,20000
Main,Black,43184,29,429750,5,105093,Norbert Seefeldt,DE,42900
Main,Black,43184,29,429751,6,102794,Ekrem Sanioglu,TR,36200
Main,Black,43184,29,429752,7,91705,Omar Humam Abu Nasr Mufti,JO,58000
Main,Black,43185,30,429756,1,80018,Anatoly Korochenskiy,TR,30000
Main,Black,43185,30,429757,2,104858,Ali El Siblani,LB,58000
Main,Black,43185,30,429758,3,103738,YUHAN LIU,CN,49000
Main,Black,43185,30,429759,4,103930,Aleksei Savenkov,RU,31000
Main,Black,43185,30,429760,5,104612,Krystian Piotr Nalepka,PL,55000
Main,Black,43185,30,429761,6,104226,Ildar Tashliyev,TM,35000
Main,Black,43185,30,429762,7,103895,Dzmitry Budai,BY,24000
Main,Black,43188,31,429786,1,93349,Marcin Dziubdziela,PL,56200
Main,Black,43188,31,429787,2,104324,Dmitrii Kukhtarev,RU,35000
Main,Black,43188,31,429788,3,105115,Tobias Peters,NL,140000
